,0
0,"SH600392,SW:230,do[4-1]_Wdooutout,SD:411,up[5-8]_Dupoutout"
1,"SH600169,SW:140,do[2-1]_Wdooutout,SD:411,do[1-2]_Ddoinin"
2,"SH600665,SW:140,up[8-4]_Wupoutout,SD:411,up[1-4]_Dupinin"
3,"SH600810,SW:140,up[4-4]_Wupoutout,SD:411,up[3-8]_Dupoutout"
4,"SH601928,SW:140,up[5-3]_Wupoutout,SD:411,do[3-5]_Ddooutin"
5,"SH600259,SW:140,do[3-2]_Wdooutout,SD:410,up[2-2]_Dupinin"
6,"SH600961,SW:140,up[3-3]_Wupoutout,SD:141,up[4-9]_Dupoutout"
7,"SH600509,SW:240,up[6-2]_Wupoutout,SD:411,up[2-4]_Dupoutout"
8,"SH603718,SW:140,do[5-14]_Wdooutout,SD:141,up[4-3]_Dupoutout"
9,"SH600257,SW:411,do[6-1]_Wdooutin,SD:421,do[1-3]_Ddooutout"
10,"SH600030,SW:420,do[3-3]_Wdooutout,SD:230,up[3-1]_Dupoutout"
11,"SH600615,SW:140,do[4-1]_Wdooutout,SD:411,do[6-3]_Ddooutin"
12,"SH603600,SW:140,do[2-2]_Wdooutout,SD:140,up[5-1]_Dupoutout"
13,"SH600289,SW:411,up[2-3]_Wupoutout,SD:411,do[4-1]_Ddoinin"
14,"SH600559,SW:321,up[3-1]_Wupoutout,SD:231,up[1-8]_Dupoutout"
15,"SH600367,SW:240,up[8-4]_Wupoutout,SD:410,do[2-5]_Ddoinin"
16,"SH600170,SW:140,do[4-4]_Wdoinout,SD:240,up[3-2]_Dupoutout"
17,"SH600748,SW:140,do[3-1]_Wdooutout,SD:411,do[1-2]_Ddoinin"
18,"SH600135,SW:240,up[3-2]_Wupoutout,SD:411,up[3-3]_Dupoutout"
19,"SH600519,SW:321,up[5-1]_Wupoutout,SD:231,do[4-3]_Ddooutout"
20,"SH600805,SW:140,do[3-1]_Wdooutout,SD:411,up[4-8]_Dupoutout"
21,"SH600644,SW:411,up[6-2]_Wupoutout,SD:411,do[7-1]_Ddooutin"
22,"SH600267,SW:421,do[5-4]_Wdoinout,SD:230,do[6-1]_Ddooutout"
23,"SH600480,SW:240,up[4-4]_Wupoutout,SD:411,up[3-3]_Dupinin"
24,"SH600491,SW:230,do[1-1]_Wdooutout,SD:141,do[4-4]_Ddooutout"
25,"SH601919,SW:230,up[3-4]_Wupoutout,SD:411,do[3-4]_Ddoinin"
26,"SH600226,SW:240,do[9-5]_Wdooutout,SD:240,do[2-4]_Ddooutout"
27,"SH601567,SW:140,do[3-3]_Wdooutout,SD:141,up[3-1]_Dupoutout"
28,"SH600258,SW:230,do[3-5]_Wdooutout,SD:241,up[1-3]_Dupoutout"
29,"SH600677,SW:140,up[1-1]_Wupoutout,SD:411,up[4-2]_Dupinin"
30,"SH600155,SW:240,up[1-3]_Wupoutout,SD:411,do[5-4]_Ddoinin"
31,"SH600691,SW:411,up[9-3]_Wupoutout,SD:421,up[4-3]_Dupinout"
32,"SH601069,SW:140,up[7-6]_Wupoutout,SD:411,up[1-4]_Dupinin"
33,"SH600325,SW:230,do[4-1]_Wdooutout,SD:410,up[12-1]_Dupoutin"
34,"SH603798,SW:140,up[4-4]_Wupoutout,SD:411,do[6-2]_Ddooutin"
35,"SH600343,SW:140,do[4-1]_Wdooutout,SD:411,do[4-5]_Ddoinin"
36,"SH603315,SW:140,up[10-2]_Wupoutout,SD:411,up[1-3]_Dupinin"
