gpid,maxang,maxh,maxc,ang,minl,len,lenmcd,lendif,postrix,startdate,starth,startl,starto,startc,startv,lastdate,lastl,lastc,len1,len2,len3,maxh1,maxh2,maxh3,minl1,minl2,minl3,prlenmcd1,prlenmcd2,prlenmcd3,prang1,prang2,maxang1,maxang2,prlendif1,prlendif2,postrix1,postrix2,startl1,sn,refid,rat,prrat1,prrat2,fuminl1,fulen1,fumaxh2,fulen2,fuminl2
0,0.2545960654610546,9.61,8.66,0.07775780154346801,6.0,-47,-19,-7,-47,2014-01-05,7.91,7.61,7.79,7.62,5198267.0,2014-01-05,7.61,7.62,,,,,,,,,,,,,,,,,,,,,,600392,0,13.648293963254599,,,10.07,15.0,16.52,-23.0,8.72
47,0.6912145555448883,13.63,12.49,0.24545640944228997,10.07,15,9,15,15,2014-12-21,10.56,10.07,9.08,9.14,77304274.0,2014-12-21,10.07,9.14,-47.0,,,9.61,,,6.0,,,-19.0,,,0.07775780154346801,,0.2545960654610546,,-7.0,,-47.0,,7.61,600392,47,36.65207877461707,13.648293963254599,,6.85,-23.0,12.36,2.0,7.91
62,1.1996092704217922,16.52,15.5,0.4085876783056557,6.85,-23,-1,9,-23,2015-04-05,13.47,12.99,12.57,12.72,71803956.0,2015-04-05,12.99,12.72,15.0,-47.0,,13.63,9.61,,10.07,6.0,,9.0,-19.0,,0.24545640944228997,0.07775780154346801,0.6912145555448883,0.2545960654610546,15.0,-7.0,15.0,-47.0,10.07,600392,62,21.855345911949687,36.65207877461707,13.648293963254599,8.72,2.0,11.39,-10.0,9.83
85,0.07391423533689812,12.36,9.85,0.015848267924673413,8.72,2,0,-2,2,2016-01-10,12.36,9.08,12.31,9.85,91001052.0,2016-01-10,9.08,9.85,-23.0,15.0,-47.0,16.52,13.63,9.61,6.85,10.07,6.0,-1.0,9.0,-19.0,0.4085876783056557,0.24545640944228997,1.1996092704217922,0.6912145555448883,9.0,15.0,-23.0,15.0,12.99,600392,85,0.0,21.855345911949687,36.65207877461707,7.91,-10.0,20.95,16.0,10.15
87,0.45407927420794836,11.39,10.48,0.15013872263820144,7.91,-10,-4,-10,-10,2016-01-24,10.34,9.11,8.58,8.81,112430496.0,2016-01-24,9.11,8.81,2.0,-23.0,15.0,12.36,16.52,13.63,8.72,6.85,10.07,0.0,-1.0,9.0,0.015848267924673413,0.4085876783056557,0.07391423533689812,1.1996092704217922,-2.0,9.0,2.0,-23.0,9.08,600392,87,18.955732122587964,0.0,21.855345911949687,9.83,16.0,16.47,-33.0,12.8
97,1.4906219077161689,20.95,18.76,0.5023235858558851,9.83,16,10,10,16,2016-04-10,10.95,9.83,10.77,9.97,116145160.0,2016-04-10,9.83,9.97,-10.0,2.0,-23.0,11.39,12.36,16.52,7.91,8.72,6.85,-4.0,0.0,-1.0,0.15013872263820144,0.015848267924673413,0.45407927420794836,0.07391423533689812,-10.0,-2.0,-10.0,2.0,9.11,600392,97,88.16449348044134,18.955732122587964,0.0,10.15,-33.0,14.96,2.0,
113,0.7948026948284557,16.47,15.48,0.22348371481270093,10.15,-33,-21,-5,-33,2016-07-31,16.14,13.69,15.83,13.72,164896318.0,2016-07-31,13.69,13.72,16.0,-10.0,2.0,20.95,11.39,12.36,9.83,7.91,8.72,10.0,-4.0,0.0,0.5023235858558851,0.15013872263820144,1.4906219077161689,0.45407927420794836,10.0,-10.0,16.0,-10.0,9.83,600392,113,12.827988338192409,88.16449348044134,18.955732122587964,12.8,2.0,,,
146,0.20973593715243244,14.96,13.9,0.06619807129400462,12.8,2,2,-2,2,2017-03-26,14.96,13.7,14.37,13.9,146801407.0,2017-03-26,13.7,13.9,-33.0,16.0,-10.0,16.47,20.95,11.39,10.15,9.83,7.91,-21.0,10.0,-4.0,0.22348371481270093,0.5023235858558851,0.7948026948284557,1.4906219077161689,-5.0,10.0,-33.0,16.0,13.69,600392,146,0.0,12.827988338192409,88.16449348044134,,,,,
0,0.72544447776888,9.38,7.91,0.16578148013251956,2.56,-26,2,4,-26,2014-01-05,3.0,2.85,3.0,2.87,28935582.0,2014-01-05,2.85,2.87,,,,,,,,,,,,,,,,,,,,,,600169,0,175.60975609756096,,,7.02,-11.0,13.78,9.0,4.7
58,0.7502901642608921,11.62,10.22,0.22511754635770762,7.02,-11,-3,11,-11,2015-02-15,7.19,7.02,6.63,6.63,174993888.0,2015-02-15,7.02,6.63,-26.0,,,9.38,,,2.56,,,2.0,,,0.16578148013251956,,0.72544447776888,,4.0,,-26.0,,2.85,600169,58,54.14781297134239,175.60975609756096,,9.31,9.0,9.79,-20.0,4.04
69,0.3883904753398233,13.78,12.63,0.1391056247167664,9.31,9,5,9,9,2015-05-03,10.74,9.92,10.35,9.98,455585492.0,2015-05-03,9.92,9.98,-11.0,-26.0,,11.62,9.38,,7.02,2.56,,-3.0,2.0,,0.22511754635770762,0.16578148013251956,0.7502901642608921,0.72544447776888,11.0,4.0,-11.0,-26.0,7.02,600169,69,26.553106212424858,54.14781297134239,175.60975609756096,4.7,-20.0,7.12,11.0,4.08
78,1.613930674134706,9.79,7.27,0.486020772678623,4.7,-20,-10,-16,-20,2015-07-05,9.79,6.5,9.65,6.5,489708203.0,2015-07-05,6.5,6.5,9.0,-11.0,-26.0,13.78,11.62,9.38,9.31,7.02,2.56,5.0,-3.0,2.0,0.1391056247167664,0.22511754635770762,0.3883904753398233,0.7502901642608921,9.0,11.0,9.0,-11.0,9.92,600169,78,11.84615384615384,26.553106212424858,54.14781297134239,4.04,11.0,4.66,-9.0,3.7
98,0.48159680884924216,7.12,5.98,0.1438280809045193,4.04,11,5,-11,11,2015-11-22,7.12,6.71,5.75,5.98,955671449.0,2015-11-22,6.71,5.98,-20.0,9.0,-11.0,9.79,13.78,11.62,4.7,9.31,7.02,-10.0,5.0,-3.0,0.486020772678623,0.1391056247167664,1.613930674134706,0.3883904753398233,-16.0,9.0,-20.0,9.0,6.5,600169,98,0.0,11.84615384615384,26.553106212424858,4.08,-9.0,4.7,38.0,3.97
109,0.3039526441642364,4.66,4.43,0.0906668708803276,4.08,-9,-3,-9,-9,2016-02-07,4.34,4.23,4.19,4.07,97009997.0,2016-02-07,4.23,4.07,11.0,-20.0,9.0,7.12,9.79,13.78,4.04,4.7,9.31,5.0,-10.0,5.0,0.1438280809045193,0.486020772678623,0.48159680884924216,1.613930674134706,-11.0,-16.0,11.0,-20.0,6.71,600169,109,8.84520884520883,0.0,11.84615384615384,3.7,38.0,4.8,-6.0,4.27
118,0.3142953273544832,4.7,4.46,0.08349127124910184,3.7,38,32,-22,38,2016-04-17,4.65,4.52,4.47,4.46,170092498.0,2016-04-17,4.52,4.46,-9.0,11.0,-20.0,4.66,7.12,9.79,4.08,4.04,4.7,-3.0,5.0,-10.0,0.0906668708803276,0.1438280809045193,0.3039526441642364,0.48159680884924216,-9.0,-11.0,-9.0,11.0,4.23,600169,118,0.0,8.84520884520883,0.0,3.97,-6.0,4.85,6.0,
156,0.09263453183477531,4.8,4.55,0.030526790130996954,3.97,-6,-4,-4,-6,2017-01-15,4.27,4.1,4.14,4.11,130142112.0,2017-01-15,4.1,4.11,38.0,-9.0,11.0,4.7,4.66,7.12,3.7,4.08,4.04,32.0,-3.0,5.0,0.08349127124910184,0.0906668708803276,0.3142953273544832,0.3039526441642364,-22.0,-9.0,38.0,-9.0,4.52,600169,156,10.705596107055948,0.0,8.84520884520883,4.27,6.0,,,
162,0.1446235086293895,4.85,4.53,0.053121651806116915,4.27,6,6,6,6,2017-02-26,4.85,4.5,4.68,4.53,256586472.0,2017-02-26,4.5,4.53,-6.0,38.0,-9.0,4.8,4.7,4.66,3.97,3.7,4.08,-4.0,32.0,-3.0,0.030526790130996954,0.08349127124910184,0.09263453183477531,0.3142953273544832,-4.0,-22.0,-6.0,38.0,4.1,600169,162,0.0,10.705596107055948,0.0,,,,,
0,1.1912528619716625,12.62,11.21,0.34400982443136824,2.71,-7,19,19,-7,2014-01-05,2.99,2.92,2.99,2.98,2457479.0,2014-01-05,2.92,2.98,,,,,,,,,,,,,,,,,,,,,,600665,0,276.17449664429535,,,4.48,-21.0,8.57,11.0,4.75
77,1.963903172687108,10.67,9.21,0.6195447219513932,4.48,-21,-11,-13,-21,2015-06-28,10.67,9.21,10.12,9.21,97680150.0,2015-06-28,9.21,9.21,-7.0,,,12.62,,,2.71,,,19.0,,,0.34400982443136824,,1.1912528619716625,,19.0,,-7.0,,2.92,600665,77,0.0,276.17449664429535,,4.28,11.0,5.84,-10.0,4.38
98,1.0363177871134372,8.57,7.53,0.3104726258854238,4.28,11,5,1,11,2015-11-22,6.46,6.05,5.77,5.93,113692627.0,2015-11-22,6.05,5.93,-21.0,-7.0,,10.67,12.62,,4.48,2.71,,-11.0,19.0,,0.6195447219513932,0.34400982443136824,1.963903172687108,1.1912528619716625,-13.0,19.0,-21.0,-7.0,9.21,600665,98,26.981450252951113,0.0,276.17449664429535,4.75,-10.0,5.78,4.0,4.51
109,0.5949455674391192,5.84,5.5,0.20305378175829378,4.75,-10,-2,-10,-10,2016-02-07,5.05,4.75,4.51,4.43,55195169.0,2016-02-07,4.75,4.43,11.0,-21.0,-7.0,8.57,10.67,12.62,4.28,4.48,2.71,5.0,-11.0,19.0,0.3104726258854238,0.6195447219513932,1.0363177871134372,1.963903172687108,1.0,-13.0,11.0,-21.0,6.05,600665,109,24.15349887133185,26.981450252951113,0.0,4.38,4.0,5.09,-6.0,4.79
119,0.04496739179870135,5.78,5.33,0.020850818002582344,4.38,4,0,-4,4,2016-04-24,5.78,5.27,5.68,5.33,50331026.0,2016-04-24,5.27,5.33,-10.0,11.0,-21.0,5.84,8.57,10.67,4.75,4.28,4.48,-2.0,5.0,-11.0,0.20305378175829378,0.3104726258854238,0.5949455674391192,1.0363177871134372,-10.0,1.0,-10.0,11.0,4.75,600665,119,0.0,24.15349887133185,26.981450252951113,4.51,-6.0,5.91,23.0,4.97
123,0.06642493403119998,5.09,4.91,0.021347984342749426,4.51,-6,-2,-6,-6,2016-06-05,5.04,4.84,4.54,4.57,46056231.0,2016-06-05,4.84,4.57,4.0,-10.0,11.0,5.78,5.84,8.57,4.38,4.75,4.28,0.0,-2.0,5.0,0.020850818002582344,0.20305378175829378,0.04496739179870135,0.5949455674391192,-4.0,-10.0,4.0,-10.0,5.27,600665,123,7.4398249452954035,0.0,24.15349887133185,4.79,23.0,5.81,-12.0,5.41
