gpid,maxang,maxh,maxc,ang,minl,len,lenmcd,lendif,postrix,startdate,starth,startl,starto,startc,startv,lastdate,lastl,lastc,len1,len2,len3,maxh1,maxh2,maxh3,minl1,minl2,minl3,prlenmcd1,prlenmcd2,prlenmcd3,prang1,prang2,maxang1,maxang2,prlendif1,prlendif2,postrix1,postrix2,startl1,sn,refid,rat,prrat1,prrat2,fuminl1,fulen1,fumaxh2,fulen2,fuminl2
0,0.21132209013229075,16.67,15.85,0.06030635135443579,8.34,-16,-16,-16,-32,2014-01-05,8.71,8.36,8.37,8.48,4286727.0,2014-01-05,8.36,8.48,,,,,,,,,,,,,,,,,,,,,,300011,0,86.91037735849054,,,15.76,2.0,22.76,-3.0,20.28
32,0.13423778260196673,19.88,18.68,0.07397976765585536,15.76,2,2,4,-4,2014-10-19,17.36,15.76,15.74,15.71,43147583.0,2014-10-19,15.76,15.71,-16.0,,,16.67,,,8.34,,,-16.0,,,0.06030635135443579,,0.21132209013229075,,-16.0,,-32.0,,8.36,300011,32,18.905155951623165,86.91037735849054,,15.87,-3.0,59.74,20.0,16.74
36,0.09330295721730697,22.76,18.86,0.044330259631292133,15.87,-3,-3,3,-3,2014-11-16,18.46,15.87,18.39,16.03,44559946.0,2014-11-16,15.87,16.03,2.0,-16.0,,19.88,16.67,,15.76,8.34,,2.0,-16.0,,0.07397976765585536,0.06030635135443579,0.13423778260196673,0.21132209013229075,4.0,-16.0,-4.0,-32.0,15.76,300011,36,17.654398003742976,18.905155951623165,86.91037735849054,20.28,20.0,39.89,-29.0,17.84
39,1.4574195726830572,59.74,50.54,0.3881137986032391,20.28,20,20,20,14,2015-02-15,21.74,20.28,20.88,20.27,38290129.0,2015-02-15,20.28,20.27,-3.0,2.0,-16.0,22.76,19.88,16.67,15.87,15.76,8.34,-3.0,2.0,-16.0,0.044330259631292133,0.07397976765585536,0.09330295721730697,0.13423778260196673,3.0,4.0,-3.0,-4.0,15.87,300011,39,149.3339911198816,17.654398003742976,18.905155951623165,16.74,-29.0,25.0,17.0,18.72
59,1.6697007494060063,39.89,37.94,0.46972062104069534,16.74,-29,-29,-11,-27,2015-07-05,39.84,26.41,38.94,28.54,60551972.0,2015-07-05,26.41,28.54,20.0,-3.0,2.0,59.74,22.76,19.88,20.28,15.87,15.76,20.0,-3.0,2.0,0.3881137986032391,0.044330259631292133,1.4574195726830572,0.09330295721730697,20.0,3.0,14.0,-3.0,20.28,300011,59,32.936229852838125,149.3339911198816,17.654398003742976,17.84,17.0,21.85,-10.0,20.01
88,0.6322536369508289,25.0,23.34,0.17057958417467114,17.84,17,17,-11,9,2016-04-10,22.24,20.37,19.52,20.64,58895386.0,2016-04-10,20.37,20.64,-29.0,20.0,-3.0,39.89,59.74,22.76,16.74,20.28,15.87,-29.0,20.0,-3.0,0.46972062104069534,0.3881137986032391,1.6697007494060063,1.4574195726830572,-11.0,20.0,-27.0,14.0,26.41,300011,88,13.08139534883721,32.936229852838125,149.3339911198816,18.72,-10.0,23.59,9.0,19.09
105,0.18489122318691203,21.85,20.76,0.06196813989690746,18.72,-10,-10,-10,-2,2016-08-07,21.12,20.61,20.99,20.44,12069195.0,2016-08-07,20.61,20.44,17.0,-29.0,20.0,25.0,39.89,59.74,17.84,16.74,20.28,17.0,-29.0,20.0,0.17057958417467114,0.46972062104069534,0.6322536369508289,1.6697007494060063,-11.0,-11.0,9.0,-27.0,20.37,300011,105,1.5655577299412915,13.08139534883721,32.936229852838125,20.01,9.0,21.03,-13.0,19.07
115,0.24388241088389773,23.59,22.51,0.07685439041406499,20.01,9,9,-1,3,2016-10-23,21.38,20.67,20.31,20.05,36430154.0,2016-10-23,20.67,20.05,-10.0,17.0,-29.0,21.85,25.0,39.89,18.72,17.84,16.74,-10.0,17.0,-29.0,0.06196813989690746,0.17057958417467114,0.18489122318691203,0.6322536369508289,-10.0,-11.0,-2.0,9.0,20.61,300011,115,12.26932668329177,1.5655577299412915,13.08139534883721,19.09,-13.0,19.92,2.0,
124,0.12768082377208612,21.03,20.6,0.03603269539262189,19.09,-13,-13,-13,-5,2016-12-25,20.65,20.27,20.19,19.96,13663945.0,2016-12-25,20.27,19.96,9.0,-10.0,17.0,23.59,21.85,25.0,20.01,18.72,17.84,9.0,-10.0,17.0,0.07685439041406499,0.06196813989690746,0.24388241088389773,0.18489122318691203,-1.0,-10.0,3.0,-2.0,20.67,300011,124,3.206412825651306,12.26932668329177,1.5655577299412915,19.07,2.0,,,
137,0.009094559755784493,19.92,19.4,0.003939613271959165,19.07,2,2,-2,-2,2017-03-26,19.92,19.3,19.46,19.4,15041493.0,2017-03-26,19.3,19.4,-13.0,9.0,-10.0,21.03,23.59,21.85,19.09,20.01,18.72,-13.0,9.0,-10.0,0.03603269539262189,0.07685439041406499,0.12768082377208612,0.24388241088389773,-13.0,-1.0,-5.0,3.0,20.27,300011,137,0.0,3.206412825651306,12.26932668329177,,,,,
