gpid,maxang,maxh,maxc,ang,minl,len,lenmcd,lendif,postrix,startdate,starth,startl,starto,startc,startv,lastdate,lastl,lastc,len1,len2,len3,maxh1,maxh2,maxh3,minl1,minl2,minl3,prlenmcd1,prlenmcd2,prlenmcd3,prang1,prang2,maxang1,maxang2,prlendif1,prlendif2,postrix1,postrix2,startl1,sn,refid,rat,prrat1,prrat2,fuminl1,fulen1,fumaxh2,fulen2,fuminl2
0,0.8746963376740005,59.74,50.54,0.2341584582064413,8.34,-24,2,12,-24,2014-01-05,8.71,8.36,8.37,8.48,4286727.0,2014-01-05,8.36,8.48,,,,,,,,,,,,,,,,,,,,,,300011,0,495.9905660377358,,,16.74,-32.0,25.0,17.0,18.72
60,1.615017126815566,39.89,37.94,0.4333851509128086,16.74,-32,-24,-16,-32,2015-07-12,31.4,28.46,31.4,23.73,103994124.0,2015-07-12,28.46,23.73,-24.0,,,59.74,,,8.34,,,2.0,,,0.2341584582064413,,0.8746963376740005,,12.0,,-24.0,,8.36,300011,60,59.88200589970501,495.9905660377358,,19.97,17.0,22.0,-9.0,19.99
92,0.6771689305283084,25.0,23.34,0.2229462079426427,19.97,17,9,-11,17,2016-05-08,21.42,19.97,18.46,20.2,63496523.0,2016-05-08,19.97,20.2,-32.0,-24.0,,39.89,59.74,,16.74,8.34,,-24.0,2.0,,0.4333851509128086,0.2341584582064413,1.615017126815566,0.8746963376740005,-16.0,12.0,-32.0,-24.0,28.46,300011,92,15.544554455445558,59.88200589970501,495.9905660377358,18.72,-9.0,23.59,10.0,19.07
109,0.11384751681695496,22.0,20.73,0.042571881376092,18.72,-9,-3,-9,-9,2016-09-04,20.42,18.72,20.13,18.94,32596406.0,2016-09-04,18.72,18.94,17.0,-32.0,-24.0,25.0,39.89,59.74,19.97,16.74,8.34,9.0,-24.0,2.0,0.2229462079426427,0.4333851509128086,0.6771689305283084,1.615017126815566,-11.0,-16.0,17.0,-32.0,19.97,300011,109,9.450897571277705,15.544554455445558,59.88200589970501,19.99,10.0,20.11,-11.0,
118,0.21222002480039254,23.59,22.51,0.06368375649540395,19.99,10,2,-2,10,2016-11-13,21.54,20.83,20.72,20.77,23498720.0,2016-11-13,20.83,20.77,-9.0,17.0,-32.0,22.0,25.0,39.89,18.72,19.97,16.74,-3.0,9.0,-24.0,0.042571881376092,0.2229462079426427,0.11384751681695496,0.6771689305283084,-9.0,-11.0,-9.0,17.0,18.72,300011,118,8.377467501203672,9.450897571277705,15.544554455445558,19.07,-11.0,,,
128,0.13198565909401141,20.11,19.65,0.038235897578879956,19.07,-11,-7,-11,-11,2017-01-22,19.92,19.1,19.92,19.15,10631050.0,2017-01-22,19.1,19.15,10.0,-9.0,17.0,23.59,22.0,25.0,19.99,18.72,19.97,2.0,-3.0,9.0,0.06368375649540395,0.042571881376092,0.21222002480039254,0.11384751681695496,-2.0,-9.0,10.0,-9.0,20.83,300011,128,2.610966057441244,8.377467501203672,9.450897571277705,,,,,
0,0.4692305987145219,10.76,10.15,0.17422589160217278,6.77,-37,-9,-11,-37,2014-01-05,7.62,7.48,7.5,7.58,2319584.0,2014-01-05,7.48,7.58,,,,,,,,,,,,,,,,,,,,,,300138,0,33.905013192612145,,,8.99,-11.0,23.75,15.0,10.03
47,0.32468503534416193,11.9,11.39,0.1084517948939381,8.99,-11,-5,11,-11,2015-01-11,9.31,8.99,9.11,9.06,12593080.0,2015-01-11,8.99,9.06,-37.0,,,10.76,,,6.77,,,-9.0,,,0.17422589160217278,,0.4692305987145219,,-11.0,,-37.0,,7.48,300138,47,25.717439293598243,33.905013192612145,,11.14,15.0,16.28,-17.0,12.56
58,0.9335305981428685,23.75,20.65,0.24114600605456016,11.14,15,11,15,15,2015-03-29,12.36,11.61,11.88,11.64,28421804.0,2015-03-29,11.61,11.64,-11.0,-37.0,,11.9,10.76,,8.99,6.77,,-5.0,-9.0,,0.1084517948939381,0.17422589160217278,0.32468503534416193,0.4692305987145219,11.0,-11.0,-11.0,-37.0,8.99,300138,58,77.4054982817869,25.717439293598243,33.905013192612145,10.03,-17.0,18.96,12.0,11.64
73,1.0891441969698934,16.28,14.88,0.336734165634843,10.03,-17,-11,-1,-17,2015-07-12,13.06,11.21,13.06,9.68,41225856.0,2015-07-12,11.21,9.68,15.0,-11.0,-37.0,23.75,11.9,10.76,11.14,8.99,6.77,11.0,-5.0,-9.0,0.24114600605456016,0.1084517948939381,0.9335305981428685,0.32468503534416193,15.0,11.0,15.0,-11.0,11.61,300138,73,53.71900826446283,77.4054982817869,25.717439293598243,12.56,12.0,17.32,-10.0,14.8
90,0.7073270222669282,18.96,17.72,0.2333509568184714,12.56,12,6,12,12,2015-11-08,15.99,15.51,14.73,14.9,41673330.0,2015-11-08,15.51,14.9,-17.0,15.0,-11.0,16.28,23.75,11.9,10.03,11.14,8.99,-11.0,11.0,-5.0,0.336734165634843,0.24114600605456016,1.0891441969698934,0.9335305981428685,-1.0,15.0,-17.0,15.0,11.21,300138,90,18.926174496644286,53.71900826446283,77.4054982817869,11.64,-10.0,17.38,11.0,15.8
102,0.5088233780964361,17.32,16.22,0.16941510844135818,11.64,-10,-4,-4,-10,2016-01-31,13.71,11.64,13.53,11.74,15145301.0,2016-01-31,11.64,11.74,12.0,-17.0,15.0,18.96,16.28,23.75,12.56,10.03,11.14,6.0,-11.0,11.0,0.2333509568184714,0.336734165634843,0.7073270222669282,1.0891441969698934,12.0,-1.0,12.0,-17.0,15.51,300138,102,38.16013628620101,18.926174496644286,53.71900826446283,14.8,11.0,17.97,6.0,15.88
112,0.1895568988777664,17.38,16.38,0.06697247605845635,14.8,11,-1,11,11,2016-04-17,17.38,15.96,16.62,16.03,31009841.0,2016-04-17,15.96,16.03,-10.0,12.0,-17.0,17.32,18.96,16.28,11.64,12.56,10.03,-4.0,6.0,-11.0,0.16941510844135818,0.2333509568184714,0.5088233780964361,0.7073270222669282,-4.0,12.0,-10.0,12.0,11.64,300138,112,2.183406113537112,38.16013628620101,18.926174496644286,15.8,6.0,18.86,-9.0,17.43
