sn [lastu510] curno
600358 [0.0] 0.0
600452 [0.0] 0.0
600475 [0.0] 0.0
600476 [0.0] 4.0
600550 [0.0] 0.0
600555 [0.0] 1.0
600576 [0.0] 4.0
600583 [0.0] 2.0
600602 [0.0] 1.0
600649 [0.0] 2.0
600695 [0.0] 3.0
601016 [0.0] 2.0
603022 [0.0] 3.0
603029 [0.0] 2.0
603035 [1.0] 1.0
603300 [0.0] 4.0
603360 [0.0] 3.0
603598 [0.0] 0.0
603779 [0.0] 2.0
603822 [0.0] 2.0
603991 [0.0] 1.0
000014 [0.0] 4.0
000065 [0.0] 0.0
000409 [0.0] 2.0
000673 [0.0] 0.0
000710 [0.0] 4.0
000736 [0.0] 2.0
000862 [0.0] 1.0
000966 [0.0] 2.0
002129 [0.0] 2.0
002160 [0.0] 0.0
002214 [0.0] 1.0
002219 [0.0] 2.0
002318 [0.0] 3.0
002390 [0.0] 1.0
002467 [0.0] 3.0
002499 [0.0] 3.0
002512 [0.0] 3.0
002524 [0.0] 0.0
002552 [0.0] 2.0
002560 [0.0] 1.0
002592 [0.0] 3.0
002654 [0.0] 0.0
002713 [0.0] 2.0
002799 [0.0] 1.0
002808 [0.0] 2.0
002817 [0.0] 2.0
002828 [0.0] 1.0
300031 [0.0] 3.0
300238 [0.0] 2.0
300311 [0.0] 4.0
300313 [0.0] 0.0
300364 [0.0] 0.0
300465 [0.0] 4.0
300480 [0.0] 1.0
300547 [0.0] 2.0
300629 [0.0] 4.0
