,0
0,"SH880207,SW:230,do[4-7]_Wdooutout,SD:240,up[5-1]_Dupoutout"
1,"SH880804,SW:230,do[2-8]_Wdooutout,SD:240,do[4-4]_Ddooutout"
2,"SH880919,SW:240,up[5-3]_Wupoutout,SD:411,do[5-3]_Ddooutout"
3,"SH880552,SW:140,up[5-3]_Wupinout,SD:141,do[5-4]_Ddooutout"
4,"SH880431,SW:140,do[1-2]_Wdoinout,SD:240,do[4-6]_Ddooutout"
5,"SH880328,SW:141,up[7-6]_Wupoutout,SD:411,up[4-8]_Dupinin"
6,"SH880842,SW:230,do[1-6]_Wdooutout,SD:240,do[4-4]_Ddooutout"
7,"SH880570,SW:240,up[11-3]_Wupoutout,SD:411,up[3-9]_Dupoutout"
8,"SH880497,SW:140,up[11-2]_Wupoutout,SD:241,do[1-2]_Ddooutout"
9,"SH880344,SW:230,do[4-1]_Wdooutout,SD:240,do[4-12]_Ddooutout"
10,"SH880563,SW:421,up[6-2]_Wupoutout,SD:411,do[6-2]_Ddooutin"
11,"SH880920,SW:421,up[5-2]_Wupoutout,SD:321,do[12-3]_Ddooutout"
12,"SH880922,SW:240,up[8-5]_Wupoutout,SD:411,up[4-7]_Dupinin"
13,"SH880856,SW:230,up[12-2]_Wupoutout,SD:241,do[7-3]_Ddooutout"
14,"SH880424,SW:230,do[3-6]_Wdooutout,SD:240,do[4-4]_Ddooutout"
15,"SH880452,SW:230,do[3-4]_Wdooutout,SD:240,do[3-5]_Ddooutout"
16,"SH880493,SW:140,up[3-2]_Wupoutout,SD:411,do[7-3]_Ddooutin"
17,"SH880568,SW:141,up[6-2]_Wupoutout,SD:411,do[7-1]_Ddooutin"
18,"SH880225,SW:140,do[1-1]_Wdooutout,SD:241,do[2-1]_Ddooutout"
19,"SH880567,SW:140,do[2-1]_Wdooutout,SD:241,up[2-3]_Dupoutout"
20,"SH880482,SW:230,do[3-2]_Wdooutout,SD:240,do[4-3]_Ddooutout"
21,"SH880853,SW:120,do[5-5]_Wdooutout,SD:230,up[4-1]_Dupoutout"
22,"SH880915,SW:140,up[7-3]_Wupoutout,SD:411,up[3-8]_Dupoutout"
23,"SH880430,SW:141,up[6-4]_Wupoutout,SD:411,do[9-1]_Ddooutin"
24,"SH880335,SW:230,up[10-3]_Wupoutout,SD:241,do[6-2]_Ddooutout"
25,"SH880938,SW:240,up[10-3]_Wupoutout,SD:411,up[3-9]_Dupoutout"
26,"SH880801,SW:420,do[7-5]_Wdooutout,SD:230,up[3-1]_Dupoutout"
27,"SH880205,SW:140,do[2-1]_Wdooutout,SD:141,up[2-3]_Dupoutout"
28,"SH880324,SW:230,do[4-1]_Wdooutout,SD:411,up[5-7]_Dupoutout"
29,"SH880927,SW:321,do[3-8]_Wdooutout,SD:231,do[12-3]_Ddooutout"
30,"SH880494,SW:140,up[10-3]_Wupoutout,SD:411,do[3-5]_Ddooutin"
31,"SH880301,SW:230,do[5-2]_Wdooutout,SD:240,up[7-6]_Dupoutout"
32,"SH880531,SW:230,up[8-2]_Wupoutout,SD:141,do[8-2]_Ddooutout"
33,"SH880539,SW:230,up[5-1]_Wupoutout,SD:241,do[7-3]_Ddooutout"
34,"SH880910,SW:230,up[6-2]_Wupoutout,SD:241,up[3-9]_Dupoutout"
35,"SH880437,SW:140,up[10-2]_Wupoutout,SD:411,do[7-2]_Ddooutin"
36,"SH880843,SW:140,do[2-1]_Wdooutout,SD:141,do[6-2]_Ddooutout"
37,"SH880504,SW:140,do[1-1]_Wdooutout,SD:141,up[1-3]_Dupoutout"
38,"SH880528,SW:230,do[5-6]_Wdooutout,SD:230,up[7-1]_Dupoutout"
39,"SH880802,SW:421,up[5-1]_Wupoutout,SD:231,do[9-3]_Ddooutout"
40,"SH880908,SW:140,do[1-1]_Wdooutout,SD:140,do[4-4]_Ddooutout"
41,"SH880471,SW:230,do[3-2]_Wdooutout,SD:230,up[7-1]_Dupoutout"
42,"SH880926,SW:240,up[11-3]_Wupoutout,SD:411,up[3-9]_Dupoutout"
43,"SH880918,SW:230,do[1-6]_Wdooutout,SD:240,do[7-4]_Ddooutout"
44,"SH880310,SW:230,do[4-6]_Wdooutout,SD:240,up[4-1]_Dupoutout"
45,"SH880590,SW:140,up[9-3]_Wupoutout,SD:411,do[11-4]_Ddooutin"
46,"SH880380,SW:321,up[5-1]_Wupoutout,SD:321,do[4-3]_Ddooutout"
47,"SH880215,SW:230,up[8-2]_Wupoutout,SD:411,up[2-10]_Dupoutout"
48,"SH880219,SW:230,up[8-2]_Wupoutout,SD:241,do[7-3]_Ddooutout"
49,"SH880827,SW:411,up[5-1]_Wupinin,SD:231,do[5-3]_Ddooutout"
