专业代码,专业名称,门类,目录,学科
510101.0,作物生产技术,,15专目录,
510102.0,种子生产与经营,,15专目录,
510103.0,设施农业与装备,,15专目录,
510104.0,现代农业技术,,15专目录,
510105.0,休闲农业,,15专目录,
510106.0,生态农业技术,,15专目录,
510107.0,园艺技术,,15专目录,
510108.0,植物保护与检疫技术,,15专目录,
510109.0,茶树栽培与茶叶加工,,15专目录,
510110.0,中草药栽培技术,,15专目录,
510111.0,烟草栽培与加工,,15专目录,
510112.0,棉花加工与经营管理,,15专目录,
510113.0,农产品加工与质量检测,,15专目录,
510114.0,绿色食品生产与检验,,15专目录,
510115.0,农资营销与服务,,15专目录,
510116.0,农产品流通与管理,,15专目录,
510117.0,农业装备应用技术,,15专目录,
510118.0,农业经济管理,,15专目录,
510119.0,农村经营管理,,15专目录,
510201.0,林业技术,,15专目录,
510202.0,园林技术,,15专目录,
510203.0,森林资源保护,,15专目录,
510204.0,经济林培育与利用,,15专目录,
510205.0,野生植物资源保护与利用,,15专目录,
510206.0,野生动物资源保护与利用,,15专目录,
510207.0,森林生态旅游,,15专目录,
510208.0,森林防火指挥与通讯,,15专目录,
510209.0,自然保护区建设与管理,,15专目录,
510210.0,木工设备应用技术,,15专目录,
510211.0,木材加工技术,,15专目录,
510212.0,林业调查与信息处理,,15专目录,
510213.0,林业信息技术与管理,,15专目录,
510301.0,畜牧兽医,,15专目录,
510302.0,动物医学,,15专目录,
510303.0,动物药学,,15专目录,
510304.0,动物防疫与检疫,,15专目录,
510305.0,动物医学检验技术,,15专目录,
510306.0,宠物养护与驯导,,15专目录,
510307.0,实验动物技术,,15专目录,
510308.0,饲料与动物营养,,15专目录,
510309.0,特种动物养殖,,15专目录,
510310.0,畜牧工程技术,,15专目录,
510311.0,蚕桑技术,,15专目录,
510312.0,草业技术,,15专目录,
510313.0,养蜂与蜂产品加工,,15专目录,
510314.0,畜牧业经济管理,,15专目录,
510401.0,水产养殖技术,,15专目录,
510402.0,海洋渔业技术,,15专目录,
510403.0,水族科学与技术,,15专目录,
510404.0,水生动物医学,,15专目录,
510405.0,渔业经济管理,,15专目录,
520101.0,国土资源调查与管理,,15专目录,
520102.0,地质调查与矿产普查,,15专目录,
520103.0,矿产地质与勘查,,15专目录,
520104.0,岩矿分析与鉴定,,15专目录,
520105.0,宝玉石鉴定与加工,,15专目录,
520106.0,煤田地质与勘查技术,,15专目录,
520201.0,工程地质勘查,,15专目录,
520202.0,水文与工程地质,,15专目录,
520203.0,钻探技术,,15专目录,
520204.0,矿山地质,,15专目录,
520205.0,地球物理勘探技术,,15专目录,
520206.0,地质灾害调查与防治,,15专目录,
520207.0,环境地质工程,,15专目录,
520208.0,岩土工程技术,,15专目录,
520301.0,工程测量技术,,15专目录,
520302.0,摄影测量与遥感技术,,15专目录,
520303.0,测绘工程技术,,15专目录,
520304.0,测绘地理信息技术,,15专目录,
520305.0,地籍测绘与土地管理,,15专目录,
520306.0,矿山测量,,15专目录,
520307.0,测绘与地质工程技术,,15专目录,
520308.0,导航与位置服务,,15专目录,
520309.0,地图制图与数字传播技术,,15专目录,
520310.0,地理国情监测技术,,15专目录,
520311.0,国土测绘与规划,,15专目录,
520401.0,钻井技术,,15专目录,
520402.0,油气开采技术,,15专目录,
520403.0,油气储运技术,,15专目录,
520404.0,油气地质勘探技术,,15专目录,
520405.0,油田化学应用技术,,15专目录,
520406.0,石油工程技术,,15专目录,
520501.0,煤矿开采技术,,15专目录,
520502.0,矿井建设,,15专目录,
520503.0,矿山机电技术,,15专目录,
520504.0,矿井通风与安全,,15专目录,
520505.0,综合机械化采煤,,15专目录,
520506.0,选煤技术,,15专目录,
520507.0,煤炭深加工与利用,,15专目录,
520508.0,煤化分析与检验,,15专目录,
520509.0,煤层气采输技术,,15专目录,
520510.0,矿井运输与提升,,15专目录,
520601.0,金属与非金属矿开采技术,,15专目录,
520602.0,矿物加工技术,,15专目录,
520603.0,矿业装备维护技术,,15专目录,
520701.0,大气科学技术,,15专目录,
520702.0,大气探测技术,,15专目录,
520703.0,应用气象技术,,15专目录,
520704.0,防雷技术,,15专目录,
520801.0,环境监测与控制技术,,15专目录,
520802.0,农村环境保护,,15专目录,
