,startdate,len,len1,len3,maxh2,maxh3,len2,minl2,minl3,minl1,rat,sn,refid,maxang1,maxang2
396,2017-01-23,19,-4.0,-30.0,44.68,61.95,10.0,36.8,41.26,37.02,22.40601503759401,600259,634,4.54069817169691,10.09586958146024
2251,2014-05-07,28,-5.0,-26.0,11.43,14.4,14.0,10.23,10.4,9.79,12.294288480154881,600677,77,1.0016201424145823,1.8913414811064249
2951,2014-09-04,23,-6.0,-24.0,11.23,13.88,6.0,9.99,10.82,9.25,2.885572139303472,600776,165,2.4632995299615685,0.8977415723218932
8008,2015-08-05,13,-4.0,-14.0,20.96,28.96,6.0,14.19,15.67,13.71,25.537459283387623,600774,388,2.0765865536838968,6.247491060366286
10451,2017-01-23,35,-5.0,-26.0,71.49,91.5,8.0,63.88,67.82,57.77,8.647163407144019,603508,264,8.107527568932706,7.235677865741537
10756,2017-01-23,23,-5.0,-17.0,14.55,19.38,19.0,12.41,13.33,11.19,9.060955518945637,600623,662,1.5495396604499019,2.5553224015670524
11491,2016-02-02,14,-3.0,-30.0,20.28,29.37,7.0,15.87,17.82,15.44,10.294968189705036,603599,180,1.7489581987329752,3.2541658914360965
12138,2014-05-05,21,-6.0,-25.0,23.22,29.36,9.0,19.31,20.09,18.69,10.13448607108549,600699,78,2.580386356181517,4.5530457416189964
15972,2017-01-23,21,-7.0,-33.0,9.1,11.18,6.0,8.0,8.33,7.46,2.2194821208384674,600751,629,1.4793965042670334,1.0898361105256371
18817,2014-04-03,13,-4.0,-46.0,18.24,25.24,9.0,15.42,15.65,14.94,8.104658583280155,600551,59,1.4865528046576733,3.501721494644161
19180,2017-01-24,19,-6.0,-25.0,17.38,22.62,18.0,15.84,16.02,14.51,10.338101430429123,600278,722,2.00619254718998,2.9065337741034787
19218,2016-03-16,25,-12.0,-17.0,10.82,13.86,16.0,7.78,7.92,7.8,23.264311814859905,600860,414,1.687659558554633,6.312504334467907
20389,2015-08-13,7,-3.0,-22.0,22.88,37.16,8.0,15.89,16.75,14.36,0.0,600767,300,3.352871039788516,7.854753517001692
20395,2016-03-03,33,-2.0,-15.0,13.8,17.97,10.0,10.38,10.5,10.15,35.17060367454068,600767,354,1.0835450300959952,7.099600641172295
20737,2015-08-06,9,-7.0,-27.0,20.43,36.45,15.0,14.25,15.88,14.23,6.942590120160206,601766,313,1.8703220172695565,8.816248440165706
21784,2016-02-02,14,-3.0,-18.0,14.97,20.27,7.0,11.02,12.5,11.0,11.967213114754104,600773,509,1.1328133615114102,3.6007572861378314
23704,2015-08-10,9,-4.0,-33.0,21.74,32.2,11.0,16.9,17.25,15.82,9.90888382687929,600182,391,1.7582841679161725,9.029935909261994
23820,2015-08-05,13,-3.0,-19.0,94.02,161.11,8.0,62.54,67.74,59.06,22.15666994428056,600570,353,5.2458558263884445,39.25632812740741
23842,2017-01-25,26,-6.0,-31.0,48.95,61.2,15.0,45.19,45.52,41.42,8.185789836744073,600570,711,4.839328136459588,6.969452390090273
25769,2015-08-04,11,-4.0,-24.0,16.93,22.91,12.0,12.73,12.79,12.78,3.0800821355236208,603012,91,1.5232377575264429,4.774683354932521
28261,2015-08-11,10,-3.0,-35.0,51.5,84.0,7.0,41.97,45.12,38.53,18.92881666285191,600733,387,3.7547064697449417,7.749792883022928
28716,2016-03-15,25,-12.0,-15.0,16.91,20.81,19.0,13.65,14.09,13.37,26.393789696542,600833,534,4.655374670864736,5.259256845016681
29423,2016-02-03,13,-4.0,-32.0,12.96,19.56,6.0,10.24,11.31,9.42,15.480769230769221,600112,424,1.2577832706636338,2.4794618540808138
29793,2008-04-24,26,-3.0,-20.0,13.31,19.25,8.0,10.35,11.1,9.46,31.92371475953566,600075,2542,1.5536050090472473,2.8431442373354066
31983,2016-02-04,12,-5.0,-18.0,20.0,25.49,6.0,16.19,16.25,15.0,12.838633686690226,600421,397,3.5197482159960445,5.6942404611662205
33683,2016-03-08,30,-6.0,-25.0,48.38,61.57,13.0,42.6,42.68,40.5,11.913187072422724,601888,473,2.727380968851074,5.581285273715682
34130,2017-02-10,26,-5.0,-22.0,34.6,42.95,17.0,31.0,31.38,31.15,5.198400492156273,603223,383,2.00012954429087,5.628744390845593
35053,2016-03-04,32,-3.0,-22.0,15.61,21.79,16.0,13.0,13.01,12.8,37.32651570489409,600129,404,1.0624112362929787,6.244056497419553
35922,2016-03-08,29,-6.0,-23.0,17.8,26.96,8.0,14.41,14.72,12.98,36.65031534688157,603300,176,2.803750234234601,5.312168682498462
39569,2017-01-25,23,-7.0,-31.0,22.6,28.88,8.0,21.01,21.2,19.26,25.262106839740373,600549,738,2.311125595804581,3.0033692052550416
39647,2017-01-20,16,-4.0,-24.0,69.17,85.88,9.0,60.88,64.1,55.22,4.688239936858718,603528,178,10.50979010432022,9.786177274307057
40805,2016-02-03,12,-3.0,-12.0,31.42,40.34,8.0,23.82,24.19,22.44,16.67312911981389,603918,170,3.1016404836745686,9.558488550719355
41667,2016-02-05,12,-6.0,-13.0,12.82,16.08,6.0,9.76,10.5,8.98,23.00518134715024,600760,496,2.0141401040945426,1.58312436508486
42719,2016-03-08,30,-6.0,-23.0,16.39,20.88,12.0,14.62,14.73,13.6,11.658570437196381,600557,524,2.580558213257397,3.253855070357882
42975,2008-07-08,22,-4.0,-29.0,13.29,18.13,6.0,10.95,12.05,10.33,13.204373423044569,600036,1464,1.4336589535437678,2.565489951227068
43944,2016-03-04,26,-3.0,-13.0,27.09,34.78,12.0,21.45,21.7,21.3,53.0825022665458,603611,263,1.6499389917035925,10.653956531239189
45019,2016-02-03,14,-4.0,-35.0,29.88,48.9,6.0,22.37,23.84,21.26,26.995202791103374,600137,439,2.338629040866622,7.9815135002648345
45417,2016-02-03,13,-4.0,-15.0,32.05,40.15,6.0,26.42,28.25,25.78,10.897203051216863,603018,263,2.236064337087426,2.942413391281568
46210,2001-08-09,12,-7.0,-22.0,12.44,14.99,15.0,10.76,11.46,10.42,5.486725663716795,600618,2128,1.1550678878306888,1.761241611335118
46786,2016-03-09,24,-6.0,-20.0,26.98,32.49,19.0,21.2,21.33,21.0,46.150627615062774,600785,455,2.221556469711039,7.5981275538535895
47312,2016-10-19,30,-6.0,-24.0,30.2,38.35,16.0,27.03,29.1,27.11,4.190140845070434,600666,514,2.1428604940404288,4.233546767906328
51246,2016-02-02,13,-3.0,-15.0,19.84,24.5,6.0,15.87,17.34,15.8,12.095875139353394,600804,475,2.219362218542053,2.2970983593008625
51759,2016-02-02,19,-2.0,-25.0,42.0,58.0,8.0,31.1,31.5,31.32,53.76060872110039,600680,509,2.1513570532012296,14.141333600446416
51953,2016-03-14,16,-10.0,-20.0,9.5,11.69,19.0,7.43,7.56,7.21,7.05445544554455,600738,528,1.8147444326385456,2.9496634234064385
52670,2014-05-06,8,-8.0,-28.0,12.97,17.86,11.0,11.3,11.38,10.18,0.7400555041628065,600390,79,2.037922366598698,2.674780956984361
57992,2016-02-04,12,-5.0,-17.0,13.58,17.74,6.0,10.58,11.8,10.52,7.342657342657333,600114,504,2.2651612814588633,2.8541330948785903
58352,2016-02-02,15,-3.0,-19.0,12.41,17.77,6.0,9.82,10.45,9.35,15.229885057471273,600382,482,1.2083754838908245,2.3108084295182327
58558,2014-04-04,14,-4.0,-49.0,19.31,26.38,7.0,16.89,17.61,16.68,12.485811577752548,600640,60,1.3569722644830546,2.274384744213272
58624,2016-02-03,13,-4.0,-14.0,15.52,21.84,6.0,11.96,12.96,11.6,16.826923076923087,603818,193,1.1504893068702335,1.590305550827585
59597,2016-03-03,2,-4.0,-15.0,27.42,33.68,16.0,23.28,24.69,21.83,0.0,603808,190,4.9275145648280185,7.212725088236248
59957,2016-02-03,13,-5.0,-28.0,13.08,17.36,6.0,10.86,11.65,9.82,12.337662337662337,601313,508,2.2345883401866993,1.424832142727282
60090,2016-02-03,14,-4.0,-16.0,16.17,21.94,6.0,12.58,14.33,12.12,11.06927710843375,600292,508,1.3126257166518025,2.9653046333149278
60459,2016-03-08,-3,-6.0,-16.0,15.17,19.1,17.0,11.93,12.7,12.4,0.0,600312,442,1.988203812488386,5.231918245577536
66598,2016-02-01,15,-2.0,-12.0,27.03,36.1,6.0,22.1,23.59,22.16,13.796095444685474,603698,247,1.0503360292954285,2.2922438316458864
67627,2016-03-15,22,-11.0,-18.0,7.02,8.79,19.0,5.56,5.95,5.41,18.804920913883997,601616,525,1.8181099629251436,1.5613512651248598
67744,2015-08-06,13,-3.0,-14.0,30.58,46.99,8.0,21.87,22.33,20.4,34.578627280625554,600476,383,2.229183939955892,8.975746431898104
