,len1,len2,len3,prlendif1,prlendif2,postrix1,postrix2,minl1,minl2,minl3,prrat1,prrat2,startdate,rat,len,sn,refid,maxang1,maxang2,maxh1,maxh2,maxh3
216,-5.0,12.0,-25.0,-5.0,-2.0,1.0,6.0,7.06,7.29,7.07,7.062146892655362,7.210884353741509,2014-12-16,0.0,3,600810,232,0.6853067615377842,0.8642040483493022,7.63,7.94,8.03
244,-3.0,14.0,-3.0,-3.0,-14.0,3.0,12.0,6.2,6.4,6.09,10.501567398119118,11.578947368421044,2016-03-03,0.9803921568627416,6,600810,525,0.4648800626840144,2.1181719768627567,7.1,7.43,6.58
316,-4.0,14.0,-4.0,-4.0,-14.0,4.0,8.0,9.79,10.38,10.1,9.504950495049512,11.131386861313851,2016-03-04,9.165902841429883,25,601928,474,1.927579351265644,4.676990854210207,11.28,12.28,11.15
552,-4.0,12.0,-26.0,-4.0,-12.0,4.0,6.0,14.3,15.17,14.3,7.070707070707072,8.706624605678236,2016-03-04,23.062381852552004,27,603718,193,1.448418461008286,5.972802280806415,16.26,17.65,22.91
621,-4.0,13.0,-4.0,-4.0,-13.0,4.0,9.0,8.01,8.7,8.32,15.103532277710086,11.075268817204288,2016-03-04,40.802675585284284,27,600257,514,1.746066665962842,3.93117268018273,9.85,10.47,9.33
787,-7.0,15.0,-2.0,-7.0,-15.0,1.0,7.0,37.2,41.0,38.81,11.693442191203587,18.62538118695753,2016-03-09,48.76760563380282,27,603600,272,8.113981456169178,24.22525540311966,43.5,51.8,42.83
1191,-6.0,11.0,-23.0,-6.0,-11.0,2.0,3.0,11.45,12.2,11.47,10.815450643776824,10.344827586206897,2016-03-08,26.20744259699128,22,600135,519,2.268026181812774,5.478441696071077,13.26,14.86,20.84
1900,-4.0,13.0,-26.0,-4.0,-13.0,4.0,7.0,9.85,10.44,9.94,6.719367588932812,9.404096834264418,2016-03-04,29.213483146067425,24,600267,527,1.1658516297004928,4.009861160330407,10.99,11.93,16.31
2032,-5.0,14.0,-3.0,-5.0,-14.0,3.0,8.0,5.52,5.77,5.48,11.052631578947361,16.24790619765495,2016-03-07,30.15873015873014,32,600491,516,1.2712891622933702,3.2330839355405923,6.82,7.11,6.0
2320,-3.0,8.0,-12.0,-3.0,-8.0,3.0,2.0,10.01,10.61,10.6,17.023346303501953,12.347684809098293,2016-03-03,16.705882352941188,19,600155,297,2.395533553750415,5.254028555368099,12.03,14.04,15.23
2371,-5.0,14.0,-22.0,-5.0,-14.0,5.0,8.0,3.08,3.18,3.02,5.2959501557632285,10.876132930513592,2016-03-08,16.618911174785108,28,600691,437,0.28119726402598194,1.07254099470679,3.39,3.74,4.87
