,startdate,len,len1,len3,maxh2,maxh3,len2,minl2,minl3,minl1,rat,sn,refid,maxang1,maxang2
4239,2013-05-07,20,-5.0,-17.0,26.69,33.18,11.0,22.85,23.07,21.62,1.812450748620975,596,379,3.0962866945888843,6.222867163463016
4544,2016-02-01,15,-2.0,-37.0,70.84,114.52,6.0,53.49,56.84,50.85,26.424581005586578,2668,430,3.2071661243103176,13.66729841652682
4888,2016-03-10,28,-7.0,-22.0,13.75,20.78,15.0,10.76,10.77,10.3,32.997250229147575,158,994,2.0801476984899345,5.871035436614803
6020,2016-03-09,26,-8.0,-14.0,6.62,7.98,19.0,5.53,5.74,5.08,26.89655172413794,516,1048,1.4090618652298124,1.940725224511328
6105,2016-02-03,13,-4.0,-13.0,17.51,24.12,6.0,13.51,15.24,13.29,12.517385257301793,2752,195,1.6407878694479834,3.0567714581518124
8416,2016-02-02,14,-4.0,-28.0,9.4,14.4,6.0,7.84,8.34,7.07,9.386733416770968,863,728,1.130283801730291,1.226953095680729
9419,2016-03-07,30,-4.0,-28.0,29.19,47.45,13.0,22.05,24.74,21.34,22.340425531914892,2568,459,1.7115386188515567,13.84339445991127
9796,2016-03-08,29,-7.0,-32.0,7.83,10.15,19.0,6.54,6.58,6.25,7.230559345156884,921,529,1.3170515357413586,2.0289745251468374
11879,2014-04-04,16,-4.0,-14.0,21.78,26.49,10.0,18.32,19.99,18.3,4.957858205255339,2049,60,1.6496613742682913,2.561146521096713
13268,2016-03-14,21,-11.0,-17.0,15.06,21.22,19.0,12.26,13.12,12.08,14.85974222896134,2309,468,2.308145482295468,3.915675979516268
15527,2016-03-07,4,-5.0,-25.0,17.16,22.76,12.0,14.5,14.81,13.58,0.0,2202,523,2.6895391549925702,4.4142151246670585
16628,2016-02-02,14,-3.0,-19.0,13.44,18.66,6.0,10.37,11.97,10.3,23.758865248226968,2410,472,1.094913632513348,1.8734894178624184
18275,2016-03-04,31,-3.0,-18.0,17.98,23.41,10.0,12.74,13.4,12.86,33.405017921146964,2171,398,1.6134105883231131,8.160816436110286
18538,2016-02-04,12,-5.0,-15.0,14.81,19.12,7.0,11.9,12.9,11.65,6.834249803613512,2548,434,1.5655915414767148,1.8361725982511132
19492,2016-02-04,11,-5.0,-12.0,36.79,46.2,6.0,28.78,30.7,26.7,6.220839813374801,2117,501,7.533290601239388,6.098861637127594
20095,2016-06-24,13,-8.0,-20.0,71.94,89.94,16.0,59.4,59.94,57.42,7.646573080099107,2751,282,10.025172611425402,23.651988926349894
25290,2016-02-02,14,-4.0,-25.0,46.04,63.07,6.0,37.05,38.95,33.85,8.952837729816142,49,1018,6.321195754184702,5.089541191589394
26693,2016-02-03,14,-4.0,-16.0,11.47,14.92,6.0,9.18,10.37,9.1,10.499490316004078,970,505,1.081642689988797,1.4330402146782055
26713,2017-01-24,28,-6.0,-27.0,14.02,17.15,16.0,12.81,13.45,11.6,16.54733492442324,970,742,1.6340159418861038,2.0208780997830336
27295,2016-02-04,12,-5.0,-17.0,19.65,26.68,6.0,15.3,15.78,14.32,8.05951642901426,2322,427,2.7508214601227183,4.9073806783679155
27807,2016-02-15,10,-5.0,-29.0,28.09,35.01,8.0,24.3,24.45,22.39,8.865546218487385,2038,510,2.290859820510199,4.8273420549825685
28512,2016-02-05,11,-6.0,-19.0,16.1,19.95,6.0,12.2,12.6,11.13,14.999999999999993,760,780,3.2313543905215845,2.893355799259239
28987,2017-01-26,20,-8.0,-22.0,21.29,25.6,15.0,19.91,20.91,18.26,7.005347593582889,2673,736,2.330327532690508,1.9729546974892345
30404,2014-04-10,10,-6.0,-46.0,18.0,25.21,10.0,14.67,16.05,13.85,0.06640106241699861,2416,62,3.4171680267514786,4.517247199441451
32370,2017-03-03,16,-8.0,-22.0,17.35,20.93,10.0,14.92,15.22,14.91,9.868007542426136,2098,713,2.503137325652172,2.109938609999263
32397,2015-08-07,9,-7.0,-22.0,13.02,16.63,9.0,9.78,9.94,9.38,5.898617511520742,2121,366,2.17599159755674,4.008327357045132
34367,2017-01-23,19,-2.0,-27.0,34.36,45.65,11.0,29.55,32.03,29.02,4.3670886075949165,2781,266,1.032691718454328,6.578734457841482
34435,2014-05-06,19,-8.0,-29.0,11.08,13.5,10.0,9.64,10.04,8.88,5.608465608465618,2532,79,2.047472425619911,2.0643843965434083
35716,2013-05-07,19,-3.0,-18.0,22.3,26.83,14.0,19.71,20.12,19.01,8.126195028680684,568,364,1.1156125534389976,4.063358088019052
39749,2016-03-09,15,-8.0,-18.0,8.1,10.54,19.0,6.11,6.14,6.2,18.815789473684212,955,526,1.728720272202295,3.3041024291479393
40869,2017-01-20,30,-4.0,-21.0,8.55,12.31,13.0,7.18,8.07,6.62,10.447761194029859,2288,604,1.0254662653551398,1.9663289641320605
41663,2016-03-14,26,-11.0,-15.0,16.61,20.28,19.0,12.77,13.15,12.35,23.5820895522388,2350,508,5.117270805330969,5.8352849238133695
42295,2016-02-03,13,-3.0,-14.0,24.44,31.62,6.0,18.35,19.48,18.06,9.576515880654467,2765,159,1.843598046071056,8.305997197145318
43984,2016-02-03,13,-4.0,-18.0,23.85,30.21,6.0,19.18,19.66,18.74,10.289855072463759,2144,507,2.0664437036957155,6.227399625263718
