,len1,len2,len3,prlendif1,prlendif2,postrix1,postrix2,minl1,minl2,minl3,prrat1,prrat2,startdate,rat,len,sn,refid,maxang1,maxang2,maxh1,maxh2,maxh3
325,-4.0,13.0,-5.0,-4.0,-13.0,4.0,9.0,4.93,5.15,4.95,12.228796844181455,12.849162011173165,2016-03-04,6.349206349206349,17,2531,494,0.8750833300407621,2.3554293626474148,5.73,6.09,5.59
709,-7.0,12.0,-6.0,-7.0,-12.0,1.0,4.0,9.53,10.14,9.46,9.466263846928502,13.268892794376084,2016-03-09,40.804597701149405,31,622,614,2.024528275454569,5.665723508978231,11.07,13.14,12.38
1219,-6.0,14.0,-4.0,-6.0,-14.0,6.0,8.0,8.29,8.61,7.89,8.571428571428562,10.264900662251652,2016-03-08,0.0,3,2598,463,1.200576112011823,3.79063237608756,9.28,10.1,9.05
1408,-5.0,8.0,-9.0,-5.0,-8.0,3.0,4.0,13.54,13.99,13.53,3.586206896551713,20.322354590049073,2016-05-23,24.470134874759154,14,990,392,1.6688943294146363,6.231702182692934,15.02,18.45,15.38
1858,-5.0,9.0,-31.0,-5.0,-9.0,5.0,3.0,46.7,49.0,39.91,10.223912125052802,9.200343938091148,2015-08-10,2.3519163763066286,7,901,381,5.937945425606048,35.302953440681314,54.15,66.22,80.0
2089,-3.0,14.0,-21.0,-3.0,-14.0,3.0,8.0,6.41,6.71,6.3,14.156626506024097,9.943977591036424,2016-03-03,0.0,6,537,998,0.6221924520626282,3.241349458919112,7.58,7.88,11.6
2143,-3.0,14.0,-3.0,-3.0,-14.0,3.0,8.0,6.1,6.43,6.03,8.98876404494382,8.605341246290799,2016-03-03,16.76470588235295,31,2050,450,0.7103087364113415,2.3967570067770407,6.86,7.34,6.55
3726,-2.0,11.0,-25.0,-2.0,-11.0,2.0,5.0,11.67,12.2,10.75,10.025273799494537,9.199205823957657,2015-08-05,44.556765163297044,15,2093,360,0.6525725075728408,11.819893767425286,13.06,17.09,28.29
3737,-6.0,14.0,-3.0,-6.0,-14.0,2.0,8.0,7.91,8.43,8.13,12.66747868453104,19.139297848244613,2016-03-08,40.460526315789494,28,2093,501,1.9573264973350064,5.615987001434535,9.45,10.8,8.88
3900,-6.0,12.0,-24.0,-6.0,-12.0,6.0,4.0,6.42,6.78,6.4,7.963246554364468,7.816711590296488,2016-03-08,17.090395480225972,21,2545,385,0.8301392768079258,2.7931242211633176,7.23,8.24,11.39
4213,-6.0,16.0,-20.0,-6.0,-6.0,2.0,2.0,5.21,5.38,5.45,4.496402877697836,7.3298429319371685,2017-01-24,10.792580101180446,20,680,1286,0.4252063761322799,1.375883470956302,5.92,6.19,6.85
4464,-7.0,13.0,-23.0,-7.0,-9.0,1.0,7.0,18.62,19.84,15.58,1.0392064241851573,21.235154394299286,2015-08-07,10.643776824034346,10,2152,337,5.099204434622498,15.428321508952024,22.49,26.02,35.57
4616,-5.0,15.0,-2.0,-5.0,-15.0,3.0,9.0,12.28,13.33,13.5,7.0699135899450205,11.029948867786699,2016-03-07,35.01420454545456,44,2140,513,1.8659440895077408,4.303333826220931,13.91,15.28,14.8
4876,-3.0,10.0,-23.0,-3.0,-10.0,3.0,2.0,13.28,14.23,13.38,11.127819548872163,7.450157397691504,2015-08-06,26.91256830601092,12,158,852,1.946080636533434,14.874731110832114,15.39,21.67,38.16
5118,-5.0,15.0,-2.0,-5.0,-15.0,1.0,11.0,25.33,26.5,25.93,8.163265306122439,14.408041697691743,2016-03-07,22.89446545204539,37,2745,237,5.066944575379464,9.122846388724836,29.23,30.88,27.78
5219,-3.0,10.0,-4.0,-3.0,-10.0,3.0,6.0,9.7,10.15,8.91,11.190965092402472,8.547794117647056,2015-01-22,39.295392953929536,26,2425,191,0.7615102583568298,3.7036686889525416,10.87,11.93,10.65
5911,-4.0,13.0,-22.0,-4.0,-13.0,4.0,7.0,37.58,39.0,34.92,6.2402900051786725,8.159203980099484,2016-03-04,17.941103687206137,31,513,976,2.688102237341394,11.416341870620089,41.5,44.35,56.93
6107,-6.0,13.0,-4.0,-6.0,-13.0,2.0,9.0,12.79,13.73,13.29,8.507347254447017,12.517385257301793,2016-03-08,29.297994269340965,16,2752,214,2.265414176067725,6.6598461029359015,14.37,16.52,14.52
6223,-6.0,15.0,-20.0,-6.0,-9.0,4.0,7.0,25.4,26.53,24.12,10.663683818046232,23.01044292401873,2016-03-09,37.54597124707455,26,2287,525,4.108625182701658,14.054928420831207,29.68,34.44,44.01
6470,-5.0,14.0,-4.0,-5.0,-14.0,5.0,10.0,8.58,8.86,7.06,5.542986425339368,9.989373007438896,2015-12-18,23.632385120350108,13,2259,386,0.8173931772949887,5.7769746130103385,9.38,10.72,8.59
